order_id,date_id,location_id,user_id,product_ids,amount,returned
1,8,852,1013,['B07T5DKR5D'],149.0,False
2,3,297,257,"['B08VRMK55F', 'B0B5KZ3C53', 'B0BK1K598K']",2676.0,False
3,13,1175,54,"['B0758F7KK7', 'B08H9Z3XQW', 'B097R45BH8']",6353.0,False
4,28,1049,0,"['B09MJ77786', 'B098R25TGC', 'B095JQVC7N', 'B08461VC1Z']",77296.0,False
5,9,1188,576,"['B0758F7KK7', 'B00LZLPYHW', 'B091KNVNS9', 'B082LSVT4B']",1402.0,False
6,19,1179,1144,"['B07CVR2L5K', 'B088WCFPQF']",2755.0,False
7,2,1114,1027,['B09XRBJ94N'],2092.0,False
8,30,1293,656,"['B0B2PQL5N3', 'B08KS2KQTK', 'B07NRTCDS5', 'B079S811J3', 'B00O2R38C4']",4711.0,False
9,13,707,89,['B09ZPJT8B2'],11990.0,False
10,24,415,1063,"['B08TR61BVK', 'B00P93X0VO', 'B075TJHWVC', 'B0B3N8VG24', 'B08G28Z33M']",1817.0,False
11,31,1400,394,['B07Z3K96FR'],399.0,False
12,1,1280,783,"['B08VGM3YMF', 'B08VB57558']",38189.0,False
13,10,888,855,"['B09V17S2BG', 'B085DTN6R2', 'B00TI8E7BI', 'B094YFFSMY']",6042.0,False
14,14,1013,0,"['B07SLMR1K6', 'B0B5ZF3NRK']",1217.0,False
15,7,1137,927,"['B07J2BQZD6', 'B09C635BMM', 'B0116MIKKC', 'B0B4T6MR8N', 'B08JQN8DGZ']",2035.0,False
16,10,205,286,"['B08J7VCT12', 'B00K57MR22', 'B09NNHFSSF', 'B08RZ12GKR', 'B099S26HWG']",15633.0,False
17,12,440,56,"['B0BBN3WF7V', 'B08DDRGWTJ', 'B086PXQ2R4', 'B07Y1RCCW5']",8541.0,False
18,24,1184,1080,['B09ZTZ9N3Q'],1049.0,False
19,19,176,124,"['B09X79PP8F', 'B09HSKYMB3', 'B08SCCG9D4', 'B07YCBSCYB']",11042.0,False
20,30,797,143,"['B08CF3D7QR', 'B097RJ867P']",9261.0,False
21,9,1216,734,"['B098TV3L96', 'B07VZH6ZBB']",8148.0,False
22,22,1186,308,['B08PFSZ7FH'],299.0,False
23,25,1022,42,['B075ZTJ9XR'],269.0,False
24,8,691,682,"['B09VL9KFDB', 'B00LVMTA2A', 'B08PV1X771', 'B002PD61Y4']",19128.0,False
25,28,616,334,"['B07GLNJC25', 'B07CVR2L5K', 'B0B9LDCX89', 'B00NM6MO26']",4813.0,False
26,22,628,813,"['B095JPKPH3', 'B09ZK6THRR', 'B01L7C4IU2', 'B08MZNT7GP']",77176.0,False
27,31,385,509,"['B0814LP6S9', 'B0B5DDJNH4']",2350.0,False
28,20,781,1134,['B07NPBG1B4'],1982.84,False
29,20,862,477,"['B08W9BK4MD', 'B07DGD4Z4C', 'B07P434WJY', 'B09HQSV46W', 'B08TM71L54']",29588.0,False
30,4,813,952,"['B06XGWRKYT', 'B00LXTFMRS', 'B01N6IJG0F', 'B07GVGTSLN', 'B0B7FJNSZR']",14794.0,False
31,31,409,260,['B09CMQRQM6'],499.0,True
32,7,919,544,"['B01C8P29N0', 'B07K2HVKLL', 'B0B3MMYHYW', 'B08498D67S']",35413.0,False
33,21,625,815,"['B07H3WDC4X', 'B09M3F4HGB', 'B0883KDSXC']",10443.0,False
34,27,401,333,"['B0BDYW3RN3', 'B07Z1YVP72', 'B01M5B0TPW']",4257.0,False
35,1,466,212,"['B0B9BXKBC7', 'B07WG8PDCW', 'B09163Q5CD', 'B0188KPKB2', 'B07GXPDLYQ']",9331.0,False
36,4,332,713,['B0BM9H2NY9'],699.0,False
37,9,642,134,['B09NJN8L25'],59.0,False
38,12,182,490,['B009P2LK08'],749.0,False
39,26,109,9,"['B08VS3YLRK', 'B08HDJ86NZ', 'B09F6VHQXB', 'B00DJ5N9VK', 'B08CFJBZRK']",12305.0,False
40,14,892,1070,"['B075ZTJ9XR', 'B07X963JNS', 'B00LM4X3XE']",1259.0,False
41,8,295,9,"['B08FGNPQ9X', 'B096VF5YYF', 'B09X7DY7Q4', 'B08WKG2MWT']",8515.0,False
42,18,894,425,"['B0BMTZ4T1D', 'B08B42LWKN', 'B08VS3YLRK']",16312.0,False
43,8,556,241,['B08CTNJ985'],325.0,False
44,18,1065,729,"['B097R25DP7', 'B09DSXK8JX', 'B08BJN4MP3', 'B08NW8GHCJ']",28085.0,False
45,14,611,726,['B09KGV7WSV'],4198.0,False
46,26,1406,297,"['B008FWZGSG', 'B099PR2GQJ', 'B0BCYQY9X5', 'B07KRCW6LZ', 'B0856HY85J']",14143.0,False
47,14,429,390,"['B06XFTHCNY', 'B095XCRDQW']",1389.0,False
48,12,1051,334,['B078XFKBZL'],600.0,False
49,13,246,525,['B09MTLG4TP'],453.0,False
50,27,1189,674,"['B09KLVMZ3B', 'B0BBVKRP7B', 'B08LPJZSSW']",1157.0,False
51,10,531,441,"['B08DPLCM6T', 'B08MV82R99', 'B09MDCZJXS', 'B07JH1CBGW', 'B00K57MR22']",35601.0,False
52,4,1379,1102,"['B0B5ZF3NRK', 'B08WRWPM22']",1227.8899999999999,False
53,15,212,965,"['B0883LQJ6B', 'B07WGPKTS4', 'B07P681N66', 'B01892MIPA']",24945.0,False
54,15,632,116,"['B0B2DJ5RVQ', 'B08Y5KXR6Z']",788.0,False
55,25,946,434,"['B07PLHTTB4', 'B09SFRNKSR', 'B0B4PPD89B', 'B097RN7BBK', 'B0B8SSC5D9']",1905.0,False
56,28,1343,1179,"['B0B31BYXQQ', 'B0B4HJNPV4', 'B00H47GVGY']",2996.0,False
57,4,879,1084,"['B09YV3K34W', 'B00LY1FN1K']",2399.0,False
58,18,859,19,"['B07SPVMSC6', 'B00F159RIK']",1898.0,True
59,24,985,934,['B00O2R38C4'],999.0,False
60,6,1382,86,"['B09NNZ1GF7', 'B07232M876', 'B07B275VN9', 'B07WJXCTG9']",1721.0,False
61,27,574,600,"['B081B1JL35', 'B09V12K8NT', 'B0BC8BQ432', 'B07WHSJXLF', 'B092BL5DCX']",126035.0,True
62,25,1122,54,"['B08CNLYKW5', 'B07W7Z6DVL', 'B00OFM6PEO', 'B09VGKFM7Y', 'B09GBBJV72']",5125.0,False
